date,hospitalized_total_covid_patients_suspected_and_confirmed_including_icu,hospitalized_covid_patients_in_icu_suspected_and_confirmed
2020-04-29,77,8.0
2020-04-30,68,8.0
2020-05-01,62,6.0
2020-05-02,63,8.0
2020-05-03,58,9.0
2020-05-04,53,6.0
2020-05-05,53,5.0
2020-05-06,46,5.0
2020-05-07,54,5.0
2020-05-08,45,5.0
2020-05-09,51,7.0
2020-05-10,48,6.0
2020-05-11,52,4.0
2020-05-12,47,6.0
2020-05-13,50,5.0
2020-05-14,49,6.0
2020-05-15,44,8.0
2020-05-16,48,6.0
2020-05-17,53,7.0
2020-05-18,47,2.0
2020-05-19,45,2.0
2020-05-20,48,6.0
2020-05-21,37,0.0
2020-05-22,39,3.0
2020-05-23,35,3.0
2020-05-24,31,1.0
2020-05-25,33,1.0
2020-05-26,40,7.0
2020-05-27,41,6.0
2020-05-28,39,1.0
2020-05-29,28,3.0
2020-05-30,28,2.0
2020-05-31,26,2.0
2020-06-01,27,1.0
2020-06-02,30,1.0
2020-06-03,21,0.0
2020-06-04,11,0.0
2020-06-05,22,2.0
2020-06-06,18,2.0
2020-06-07,19,1.0
2020-06-08,26,3.0
2020-06-09,33,1.0
2020-06-10,27,2.0
2020-06-11,24,2.0
2020-06-12,25,3.0
2020-06-13,21,1.0
2020-06-14,18,0.0
2020-06-15,11,1.0
2020-06-16,17,1.0
2020-06-17,16,2.0
2020-06-18,16,1.0
2020-06-19,15,0.0
2020-06-20,18,1.0
2020-06-21,23,1.0
2020-06-22,20,0.0
2020-06-23,25,1.0
2020-06-24,17,0.0
2020-06-25,21,1.0
2020-06-26,18,0.0
2020-06-27,22,3.0
2020-06-28,20,1.0
2020-06-29,20,1.0
2020-06-30,14,0.0
2020-07-01,19,1.0
2020-07-02,14,2.0
2020-07-03,17,1.0
2020-07-04,15,1.0
2020-07-05,15,0.0
2020-07-06,14,0.0
2020-07-07,16,4.0
2020-07-08,16,0.0
2020-07-09,15,1.0
2020-07-10,15,1.0
2020-07-11,12,0.0
2020-07-12,12,2.0
2020-07-13,19,3.0
2020-07-14,15,1.0
2020-07-15,17,2.0
2020-07-16,14,2.0
2020-07-17,13,3.0
2020-07-18,16,1.0
2020-07-19,16,1.0
2020-07-20,15,0.0
2020-07-21,18,2.0
2020-07-22,22,0.0
2020-07-23,14,1.0
2020-07-24,12,0.0
2020-07-25,12,1.0
2020-07-26,15,0.0
2020-07-27,12,1.0
2020-07-28,13,0.0
2020-07-29,8,1.0
2020-07-30,9,0.0
2020-07-31,2,0.0
2020-08-01,2,0.0
2020-08-02,4,1.0
2020-08-03,3,0.0
2020-08-04,5,0.0
2020-08-05,5,0.0
2020-08-06,4,0.0
2020-08-07,3,0.0
2020-08-08,4,0.0
2020-08-09,4,0.0
2020-08-10,4,0.0
2020-08-11,4,0.0
2020-08-12,6,0.0
2020-08-13,6,0.0
2020-08-14,6,1.0
2020-08-15,8,2.0
2020-08-16,8,1.0
2020-08-17,7,1.0
2020-08-18,8,1.0
2020-08-19,6,0.0
2020-08-20,6,0.0
2020-08-21,5,0.0
2020-08-22,5,0.0
2020-08-24,3,1.0
2020-08-25,4,1.0
2020-08-26,2,0.0
2020-08-27,2,0.0
2020-08-28,2,0.0
2020-08-29,2,0.0
2020-08-30,4,0.0
2020-08-31,1,0.0
2020-09-01,2,0.0
2020-09-02,2,0.0
2020-09-03,3,0.0
2020-09-04,7,2.0
2020-09-05,5,1.0
2020-09-06,5,1.0
2020-09-07,4,1.0
2020-09-08,5,1.0
2020-09-09,6,1.0
2020-09-10,6,1.0
2020-09-11,3,0.0
2020-09-12,2,0.0
2020-09-13,2,0.0
2020-09-14,2,0.0
2020-09-15,4,1.0
2020-09-16,4,0.0
2020-09-17,4,0.0
2020-09-18,2,0.0
2020-09-19,4,1.0
2020-09-20,10,1.0
2020-09-21,10,1.0
2020-09-22,10,1.0
2020-09-23,9,1.0
2020-09-24,5,0.0
2020-09-25,4,0.0
2020-09-26,4,0.0
2020-09-27,4,0.0
2020-09-28,8,0.0
2020-09-29,9,0.0
2020-09-30,7,0.0
2020-10-01,7,0.0
2020-10-02,7,0.0
2020-10-03,10,1.0
2020-10-04,12,1.0
2020-10-05,11,0.0
2020-10-06,11,0.0
2020-10-07,14,1.0
2020-10-08,13,0.0
2020-10-09,15,0.0
2020-10-10,16,0.0
2020-10-11,15,0.0
2020-10-12,16,1.0
2020-10-13,14,1.0
2020-10-14,13,1.0
2020-10-15,12,1.0
2020-10-16,13,1.0
2020-10-17,15,1.0
2020-10-18,15,1.0
2020-10-19,14,2.0
2020-10-20,12,1.0
2020-10-21,10,1.0
2020-10-22,11,0.0
2020-10-23,10,0.0
