date,hospitalized_total_covid_patients_suspected_and_confirmed_including_icu,hospitalized_covid_patients_in_icu_suspected_and_confirmed
2020-04-29,59,16.0
2020-04-30,59,15.0
2020-05-01,49,14.0
2020-05-02,63,15.0
2020-05-03,66,15.0
2020-05-04,66,15.0
2020-05-05,63,14.0
2020-05-06,52,14.0
2020-05-07,57,13.0
2020-05-08,52,12.0
2020-05-09,47,9.0
2020-05-10,43,12.0
2020-05-11,43,12.0
2020-05-12,38,12.0
2020-05-13,39,15.0
2020-05-14,38,15.0
2020-05-15,43,13.0
2020-05-16,51,15.0
2020-05-17,50,14.0
2020-05-18,49,12.0
2020-05-19,48,12.0
2020-05-20,38,12.0
2020-05-21,42,14.0
2020-05-22,38,13.0
2020-05-23,42,10.0
2020-05-24,42,9.0
2020-05-25,42,10.0
2020-05-26,38,10.0
2020-05-27,44,12.0
2020-05-28,42,10.0
2020-05-29,44,9.0
2020-05-30,46,8.0
2020-05-31,43,10.0
2020-06-01,36,8.0
2020-06-02,34,10.0
2020-06-03,31,10.0
2020-06-04,38,9.0
2020-06-05,35,9.0
2020-06-06,26,9.0
2020-06-07,30,9.0
2020-06-08,30,9.0
2020-06-09,30,11.0
2020-06-10,27,9.0
2020-06-11,26,8.0
2020-06-12,22,9.0
2020-06-13,26,11.0
2020-06-14,24,10.0
2020-06-15,24,8.0
2020-06-16,25,7.0
2020-06-17,28,8.0
2020-06-18,27,9.0
2020-06-19,23,8.0
2020-06-20,23,8.0
2020-06-21,23,8.0
2020-06-22,19,5.0
2020-06-23,19,4.0
2020-06-24,14,4.0
2020-06-25,17,5.0
2020-06-26,17,5.0
2020-06-27,12,3.0
2020-06-28,12,4.0
2020-06-29,12,4.0
2020-06-30,27,2.0
2020-07-01,12,2.0
2020-07-02,12,4.0
2020-07-03,14,4.0
2020-07-04,14,5.0
2020-07-05,14,4.0
2020-07-06,17,4.0
2020-07-07,13,3.0
2020-07-08,15,3.0
2020-07-09,13,3.0
2020-07-10,15,3.0
2020-07-11,14,3.0
2020-07-12,16,6.0
2020-07-13,7,1.0
2020-07-14,5,2.0
2020-07-15,10,0.0
2020-07-16,14,3.0
2020-07-17,14,3.0
2020-07-18,10,3.0
2020-07-19,7,0.0
2020-07-20,7,1.0
2020-07-21,4,0.0
2020-07-22,4,0.0
2020-07-23,4,0.0
2020-07-24,4,0.0
2020-07-25,6,1.0
2020-07-26,4,1.0
2020-07-27,3,1.0
2020-07-28,4,1.0
2020-07-29,4,1.0
2020-07-30,4,1.0
2020-07-31,3,1.0
2020-08-01,3,0.0
2020-08-02,3,0.0
2020-08-03,4,1.0
2020-08-04,5,2.0
2020-08-05,3,0.0
2020-08-06,3,1.0
2020-08-07,5,2.0
2020-08-08,5,2.0
2020-08-09,8,2.0
2020-08-10,6,2.0
2020-08-11,7,1.0
2020-08-12,7,1.0
2020-08-13,5,1.0
2020-08-14,6,1.0
2020-08-15,5,0.0
2020-08-16,3,0.0
2020-08-17,5,1.0
2020-08-18,5,1.0
2020-08-19,5,1.0
2020-08-20,5,1.0
2020-08-21,7,1.0
2020-08-22,5,0.0
2020-08-24,2,0.0
2020-08-25,2,0.0
2020-08-26,2,0.0
2020-08-27,1,0.0
2020-08-28,1,0.0
2020-08-29,1,0.0
2020-08-30,4,1.0
2020-08-31,4,1.0
2020-09-01,3,0.0
2020-09-02,4,1.0
2020-09-03,4,0.0
2020-09-04,3,0.0
2020-09-05,2,1.0
2020-09-06,3,0.0
2020-09-07,2,0.0
2020-09-08,3,0.0
2020-09-09,2,0.0
2020-09-10,2,0.0
2020-09-11,1,0.0
2020-09-12,4,1.0
2020-09-13,3,0.0
2020-09-14,1,0.0
2020-09-15,1,0.0
2020-09-16,2,0.0
2020-09-17,2,1.0
2020-09-18,1,1.0
2020-09-19,1,1.0
2020-09-20,4,0.0
2020-09-21,4,0.0
2020-09-22,5,0.0
2020-09-23,4,0.0
2020-09-24,4,0.0
2020-09-25,6,3.0
2020-09-26,9,3.0
2020-09-27,10,3.0
2020-09-28,10,5.0
2020-09-29,9,5.0
2020-09-30,13,5.0
2020-10-01,13,5.0
2020-10-02,13,4.0
2020-10-03,13,4.0
2020-10-04,11,4.0
2020-10-05,11,4.0
2020-10-06,9,4.0
2020-10-07,10,4.0
2020-10-08,10,4.0
2020-10-09,9,4.0
2020-10-10,8,4.0
2020-10-11,11,5.0
2020-10-12,12,5.0
2020-10-13,11,3.0
2020-10-14,15,2.0
2020-10-15,8,2.0
2020-10-16,8,2.0
2020-10-17,5,1.0
2020-10-18,5,1.0
2020-10-19,8,1.0
2020-10-20,10,1.0
2020-10-21,6,1.0
2020-10-22,6,3.0
2020-10-23,7,4.0
