,date,county,state,fips,cases,deaths
44,2020-02-01,Suffolk,Massachusetts,25025.0,1,0
52,2020-02-02,Suffolk,Massachusetts,25025.0,1,0
60,2020-02-03,Suffolk,Massachusetts,25025.0,1,0
68,2020-02-04,Suffolk,Massachusetts,25025.0,1,0
76,2020-02-05,Suffolk,Massachusetts,25025.0,1,0
85,2020-02-06,Suffolk,Massachusetts,25025.0,1,0
94,2020-02-07,Suffolk,Massachusetts,25025.0,1,0
103,2020-02-08,Suffolk,Massachusetts,25025.0,1,0
112,2020-02-09,Suffolk,Massachusetts,25025.0,1,0
122,2020-02-10,Suffolk,Massachusetts,25025.0,1,0
132,2020-02-11,Suffolk,Massachusetts,25025.0,1,0
142,2020-02-12,Suffolk,Massachusetts,25025.0,1,0
153,2020-02-13,Suffolk,Massachusetts,25025.0,1,0
164,2020-02-14,Suffolk,Massachusetts,25025.0,1,0
175,2020-02-15,Suffolk,Massachusetts,25025.0,1,0
186,2020-02-16,Suffolk,Massachusetts,25025.0,1,0
197,2020-02-17,Suffolk,Massachusetts,25025.0,1,0
209,2020-02-18,Suffolk,Massachusetts,25025.0,1,0
221,2020-02-19,Suffolk,Massachusetts,25025.0,1,0
234,2020-02-20,Suffolk,Massachusetts,25025.0,1,0
248,2020-02-21,Suffolk,Massachusetts,25025.0,1,0
262,2020-02-22,Suffolk,Massachusetts,25025.0,1,0
276,2020-02-23,Suffolk,Massachusetts,25025.0,1,0
291,2020-02-24,Suffolk,Massachusetts,25025.0,1,0
307,2020-02-25,Suffolk,Massachusetts,25025.0,1,0
327,2020-02-26,Suffolk,Massachusetts,25025.0,1,0
347,2020-02-27,Suffolk,Massachusetts,25025.0,1,0
367,2020-02-28,Suffolk,Massachusetts,25025.0,1,0
389,2020-02-29,Suffolk,Massachusetts,25025.0,1,0
414,2020-03-01,Suffolk,Massachusetts,25025.0,1,0
445,2020-03-02,Suffolk,Massachusetts,25025.0,1,0
479,2020-03-03,Suffolk,Massachusetts,25025.0,1,0
514,2020-03-04,Suffolk,Massachusetts,25025.0,1,0
558,2020-03-05,Suffolk,Massachusetts,25025.0,1,0
618,2020-03-06,Suffolk,Massachusetts,25025.0,4,0
704,2020-03-07,Suffolk,Massachusetts,25025.0,4,0
806,2020-03-08,Suffolk,Massachusetts,25025.0,9,0
930,2020-03-09,Suffolk,Massachusetts,25025.0,10,0
1077,2020-03-10,Suffolk,Massachusetts,25025.0,20,0
1257,2020-03-11,Suffolk,Massachusetts,25025.0,20,0
1475,2020-03-12,Suffolk,Massachusetts,25025.0,22,0
1754,2020-03-13,Suffolk,Massachusetts,25025.0,26,0
2097,2020-03-14,Suffolk,Massachusetts,25025.0,27,0
2500,2020-03-15,Suffolk,Massachusetts,25025.0,31,0
2949,2020-03-16,Suffolk,Massachusetts,25025.0,42,0
3450,2020-03-17,Suffolk,Massachusetts,25025.0,42,0
4033,2020-03-18,Suffolk,Massachusetts,25025.0,51,0
4738,2020-03-19,Suffolk,Massachusetts,25025.0,72,0
5557,2020-03-20,Suffolk,Massachusetts,25025.0,87,1
6517,2020-03-21,Suffolk,Massachusetts,25025.0,108,1
7594,2020-03-22,Suffolk,Massachusetts,25025.0,126,2
8766,2020-03-23,Suffolk,Massachusetts,25025.0,154,2
10060,2020-03-24,Suffolk,Massachusetts,25025.0,234,2
11475,2020-03-25,Suffolk,Massachusetts,25025.0,342,2
13063,2020-03-26,Suffolk,Massachusetts,25025.0,448,3
14781,2020-03-27,Suffolk,Massachusetts,25025.0,631,3
16610,2020-03-28,Suffolk,Massachusetts,25025.0,843,4
18539,2020-03-29,Suffolk,Massachusetts,25025.0,940,4
20568,2020-03-30,Suffolk,Massachusetts,25025.0,1115,6
22694,2020-03-31,Suffolk,Massachusetts,25025.0,1373,7
24884,2020-04-01,Suffolk,Massachusetts,25025.0,1624,14
27140,2020-04-02,Suffolk,Massachusetts,25025.0,1896,20
29454,2020-04-03,Suffolk,Massachusetts,25025.0,2183,22
31834,2020-04-04,Suffolk,Massachusetts,25025.0,2429,27
34260,2020-04-05,Suffolk,Massachusetts,25025.0,2658,28
36724,2020-04-06,Suffolk,Massachusetts,25025.0,2929,32
39231,2020-04-07,Suffolk,Massachusetts,25025.0,3245,41
41780,2020-04-08,Suffolk,Massachusetts,25025.0,3600,49
44349,2020-04-09,Suffolk,Massachusetts,25025.0,4041,49
46955,2020-04-10,Suffolk,Massachusetts,25025.0,4534,66
49597,2020-04-11,Suffolk,Massachusetts,25025.0,4926,74
52267,2020-04-12,Suffolk,Massachusetts,25025.0,5359,81
