,date,county,state,fips,cases,deaths
556,2020-03-05,Middlesex,Massachusetts,25017.0,1,0
616,2020-03-06,Middlesex,Massachusetts,25017.0,1,0
702,2020-03-07,Middlesex,Massachusetts,25017.0,5,0
804,2020-03-08,Middlesex,Massachusetts,25017.0,10,0
928,2020-03-09,Middlesex,Massachusetts,25017.0,15,0
1075,2020-03-10,Middlesex,Massachusetts,25017.0,41,0
1255,2020-03-11,Middlesex,Massachusetts,25017.0,41,0
1473,2020-03-12,Middlesex,Massachusetts,25017.0,49,0
1752,2020-03-13,Middlesex,Massachusetts,25017.0,60,0
2095,2020-03-14,Middlesex,Massachusetts,25017.0,65,0
2497,2020-03-15,Middlesex,Massachusetts,25017.0,75,0
2946,2020-03-16,Middlesex,Massachusetts,25017.0,83,0
3447,2020-03-17,Middlesex,Massachusetts,25017.0,89,0
4030,2020-03-18,Middlesex,Massachusetts,25017.0,100,0
4735,2020-03-19,Middlesex,Massachusetts,25017.0,119,0
5554,2020-03-20,Middlesex,Massachusetts,25017.0,144,0
6513,2020-03-21,Middlesex,Massachusetts,25017.0,177,1
7590,2020-03-22,Middlesex,Massachusetts,25017.0,199,1
8762,2020-03-23,Middlesex,Massachusetts,25017.0,232,1
10056,2020-03-24,Middlesex,Massachusetts,25017.0,304,2
11471,2020-03-25,Middlesex,Massachusetts,25017.0,446,2
13059,2020-03-26,Middlesex,Massachusetts,25017.0,538,5
14777,2020-03-27,Middlesex,Massachusetts,25017.0,685,6
16606,2020-03-28,Middlesex,Massachusetts,25017.0,842,6
18535,2020-03-29,Middlesex,Massachusetts,25017.0,981,7
20564,2020-03-30,Middlesex,Massachusetts,25017.0,1141,9
22690,2020-03-31,Middlesex,Massachusetts,25017.0,1340,18
24880,2020-04-01,Middlesex,Massachusetts,25017.0,1582,21
27136,2020-04-02,Middlesex,Massachusetts,25017.0,1870,29
29450,2020-04-03,Middlesex,Massachusetts,25017.0,2202,39
31830,2020-04-04,Middlesex,Massachusetts,25017.0,2468,39
34256,2020-04-05,Middlesex,Massachusetts,25017.0,2632,42
36720,2020-04-06,Middlesex,Massachusetts,25017.0,2950,48
39227,2020-04-07,Middlesex,Massachusetts,25017.0,3187,69
41776,2020-04-08,Middlesex,Massachusetts,25017.0,3545,80
44345,2020-04-09,Middlesex,Massachusetts,25017.0,4045,93
46951,2020-04-10,Middlesex,Massachusetts,25017.0,4447,109
49593,2020-04-11,Middlesex,Massachusetts,25017.0,4872,137
52263,2020-04-12,Middlesex,Massachusetts,25017.0,5660,149
